Produit;Temps;water;protein;salt;Sugar;Fiber;fat;O2;CO2
Pâté;J0;0.512;0.15;0.022;0.005;0.011;0.22;0;70
Pâté;J0;0.512;0.15;0.022;0.005;0.011;0.22;0;70
Pâté;J0;0.512;0.15;0.022;0.005;0.011;0.22;0;70
Pâté;J0;0.512;0.15;0.022;0.005;0.011;0.22;0;70
Pâté;J0;0.512;0.15;0.022;0.005;0.011;0.22;0;70
Pâté;J0;0.512;0.15;0.022;0.005;0.011;0.22;0;70
Pâté;J0;0.512;0.15;0.022;0.005;0.011;0.22;0;70
Pâté;J0;0.512;0.15;0.022;0.005;0.011;0.22;0;70
Pâté;J0;0.512;0.15;0.022;0.005;0.011;0.22;0;70
Pâté;J0;0.512;0.15;0.022;0.005;0.011;0.22;0;70
Pâté;J1;0.512;0.15;0.022;0.005;0.011;0.22;0.0205;60.7
Pâté;J1;0.512;0.15;0.022;0.005;0.011;0.22;0.0205;60.7
Pâté;J1;0.512;0.15;0.022;0.005;0.011;0.22;0.0135;60.65
Pâté;J1;0.512;0.15;0.022;0.005;0.011;0.22;0.0135;60.65
Pâté;J2;0.512;0.15;0.022;0.005;0.011;0.22;0.001;59.4
Pâté;J2;0.512;0.15;0.022;0.005;0.011;0.22;0.001;59.4
Pâté;J2;0.512;0.15;0.022;0.005;0.011;0.22;0;60.5
Pâté;J2;0.512;0.15;0.022;0.005;0.011;0.22;0;60.5
Pâté;J3;0.512;0.15;0.022;0.005;0.011;0.22;0;60.35
Pâté;J3;0.512;0.15;0.022;0.005;0.011;0.22;0;60.35
Pâté;J3;0.512;0.15;0.022;0.005;0.011;0.22;0;60.65
Pâté;J3;0.512;0.15;0.022;0.005;0.011;0.22;0;60.65
Pâté;J4;0.512;0.15;0.022;0.005;0.011;0.22;0;59.9
Pâté;J4;0.512;0.15;0.022;0.005;0.011;0.22;0;59.9
Pâté;J4;0.512;0.15;0.022;0.005;0.011;0.22;0;60.55
Pâté;J4;0.512;0.15;0.022;0.005;0.011;0.22;0;60.55
Pâté;J5;0.512;0.15;0.022;0.005;0.011;0.22;0.0075;59.05
Pâté;J5;0.512;0.15;0.022;0.005;0.011;0.22;0.0075;59.05
Pâté;J5;0.512;0.15;0.022;0.005;0.011;0.22;0.0095;60.2
Pâté;J5;0.512;0.15;0.022;0.005;0.011;0.22;0.0095;60.2
Jambon;J0;0.707;0.22;0.019;0.006;0;0.048;0;70
Jambon;J0;0.707;0.22;0.019;0.006;0;0.048;0;70
Jambon;J0;0.707;0.22;0.019;0.006;0;0.048;0;70
Jambon;J0;0.707;0.22;0.019;0.006;0;0.048;0;70
Jambon;J0;0.707;0.22;0.019;0.006;0;0.048;0;70
Jambon;J0;0.707;0.22;0.019;0.006;0;0.048;0;70
Jambon;J0;0.707;0.22;0.019;0.006;0;0.048;0;70
Jambon;J0;0.707;0.22;0.019;0.006;0;0.048;0;70
Jambon;J0;0.707;0.22;0.019;0.006;0;0.048;0;70
Jambon;J0;0.707;0.22;0.019;0.006;0;0.048;0;70
Jambon;J1;0.707;0.22;0.019;0.006;0;0.048;0;63.6
Jambon;J1;0.707;0.22;0.019;0.006;0;0.048;0;63.6
Jambon;J1;0.707;0.22;0.019;0.006;0;0.048;0.287;59.45
Jambon;J1;0.707;0.22;0.019;0.006;0;0.048;0.287;59.45
Jambon;J2;0.707;0.22;0.019;0.006;0;0.048;0.284;58.05
Jambon;J2;0.707;0.22;0.019;0.006;0;0.048;0.284;58.05
Jambon;J2;0.707;0.22;0.019;0.006;0;0.048;#NOMBRE!;#NOMBRE!
Jambon;J3;0.707;0.22;0.019;0.006;0;0.048;0.235;60
Jambon;J3;0.707;0.22;0.019;0.006;0;0.048;0.235;60
Jambon;J3;0.707;0.22;0.019;0.006;0;0.048;0.474;58.7
Jambon;J3;0.707;0.22;0.019;0.006;0;0.048;0.474;58.7
Jambon;J4;0.707;0.22;0.019;0.006;0;0.048;0.2755;59.1
Jambon;J4;0.707;0.22;0.019;0.006;0;0.048;0.2755;59.1
Jambon;J4;0.707;0.22;0.019;0.006;0;0.048;0.2405;60.05
Jambon;J4;0.707;0.22;0.019;0.006;0;0.048;0.2405;60.05
Jambon;J5;0.707;0.22;0.019;0.006;0;0.048;0.226;59.35
Jambon;J5;0.707;0.22;0.019;0.006;0;0.048;0.226;59.35
Jambon;J5;0.707;0.22;0.019;0.006;0;0.048;0.249;58.6
Jambon;J5;0.707;0.22;0.019;0.006;0;0.048;0.249;58.6
Fromage;J0;0.4;0.27;0.015;0.001;0;0.275;0;70
Fromage;J0;0.4;0.27;0.015;0.001;0;0.275;0;70
Fromage;J0;0.4;0.27;0.015;0.001;0;0.275;0;70
Fromage;J0;0.4;0.27;0.015;0.001;0;0.275;0;70
Fromage;J0;0.4;0.27;0.015;0.001;0;0.275;0;70
Fromage;J0;0.4;0.27;0.015;0.001;0;0.275;0;70
Fromage;J0;0.4;0.27;0.015;0.001;0;0.275;0;70
Fromage;J0;0.4;0.27;0.015;0.001;0;0.275;0;70
Fromage;J0;0.4;0.27;0.015;0.001;0;0.275;0;70
Fromage;J0;0.4;0.27;0.015;0.001;0;0.275;0;70
Fromage;J0;0.4;0.27;0.015;0.001;0;0.275;0;70
Fromage;J1;0.4;0.27;0.015;0.001;0;0.275;0.024;67.7
Fromage;J1;0.4;0.27;0.015;0.001;0;0.275;0.024;67.7
Fromage;J1;0.4;0.27;0.015;0.001;0;0.275;0.045;67.65
Fromage;J1;0.4;0.27;0.015;0.001;0;0.275;0.045;67.65
Fromage;J2;0.4;0.27;0.015;0.001;0;0.275;0.0095;66.9
